id,Name,Code
891,더블유에스아이,299170
892,폴라리스AI파마,041910
893,엠오티,413390
894,아모센스,357580
895,에스엠씨지,460870
896,유비벨록스,089850
897,대성창투,027830
898,대창솔루션,096350
899,HRS,036640
900,유라클,088340
901,우림피티에스,101170
902,서플러스글로벌,140070
903,부방,014470
904,FSN,214270
905,위드텍,348350
906,에이아이코리아,364950
907,세토피아,222810
908,오파스넷,173130
909,노랑풍선,104620
910,아이큐어,175250
911,에이치시티,072990
912,팬스타엔터프라이즈,054300
913,노을,376930
914,링네트,042500
915,제일엠앤에스,412540
916,제로투세븐,159580
917,퀀타매트릭스,317690
918,팬젠,222110
919,아이비김영,339950
920,지아이텍,382480
921,한울소재과학,091440
922,이엘씨,041520
923,브이원텍,251630
924,NPX,222160
925,오리엔트정공,065500
926,LK삼양,225190
927,한국첨단소재,062970
928,APS,054620
929,비트컴퓨터,032850
930,세코닉스,053450
931,세원물산,024830
932,에스엠코어,007820
933,키스트론,475430
934,비투엔,307870
935,시공테크,020710
936,메가터치,446540
937,신신제약,002800
938,신테카바이오,226330
939,우리넷,115440
940,피제이전자,006140
941,참좋은여행,094850
942,세아메카닉스,396300
943,SM Life Design,063440
944,피엔케이피부임상연구센타,347740
945,아티스트컴퍼니,321820
946,지에프씨생명과학,388610
947,아이엘,307180
948,TJ미디어,032540
949,에너토크,019990
950,지에스이,053050
951,삼양케이씨아이,036670
952,케이사인,192250
953,아크솔루션스,203690
954,피에스텍,002230
955,아미노로직스,074430
956,오늘이엔엠,192410
957,오픈베이스,049480
958,서울리거,043710
959,폴라리스세원,234100
960,윈팩,097800
961,레이,228670
962,위지트,036090
963,한국컴퓨터,054040
964,와이제이링크,209640
965,HLB파나진,046210
966,한국가구,004590
967,엔에스이엔엠,078860
968,서울평가정보,036120
969,화인써키트,127980
970,에르코스,435570
971,가온그룹,078890
972,라이온켐텍,171120
973,금강철강,053260
974,성도이엔지,037350
975,이노메트리,302430
976,유니테크노,241690
977,티이엠씨씨엔에스,241790
978,JW신약,067290
979,경남스틸,039240
980,푸드웰,005670
981,저스템,417840
982,아티스트스튜디오,200350
983,iMBC,052220
984,영화테크,265560
985,큐에스아이,066310
986,엠투엔,033310
987,선바이오,067370
988,신스틸,162300
989,위너스,479960
990,차백신연구소,261780
991,센코,347000
992,베노티앤알,206400
993,우듬지팜,403490
994,에스넷,038680
995,알에프텍,061040
996,국순당,043650
997,덴티스,261200
998,케어랩스,263700
999,레이저옵텍,199550
1000,자이글,234920
1001,라이콤,388790
1002,우리산업,215360
1003,내츄럴엔도텍,168330
1004,옵티팜,153710
1005,제너셈,217190
1006,아진엑스텍,059120
1007,SDN,099220
1008,바이오스마트,038460
1009,인지소프트,100030
1010,삼현철강,017480
1011,코렌텍,104540
1012,소노스퀘어,007720
1013,아이엠티,451220
1014,제이씨케미칼,137950
1015,홈캐스트,064240
1016,노브랜드,145170
1017,한일단조,024740
1018,엔시스,333620
1019,에이스토리,241840
1020,티플랙스,081150
1021,산돌,419120
1022,푸드나무,290720
1023,테라사이언스,073640
1024,이삭엔지니어링,351330
1025,자연과환경,043910
1026,텔콘RF제약,200230
1027,진양제약,007370
1028,동일금속,109860
1029,와이랩,432430
1030,데이원컴퍼니,373160
1031,꿈비,407400
1032,린드먼아시아,277070
1033,크라우드웍스,355390
1034,쎄크,081180
1035,시그네틱스,033170
1036,웨이브일렉트로,095270
1037,와이어블,065530
1038,푸른기술,094940
1039,파로스아이바이오,388870
1040,신일제약,012790
1041,솔디펜스,215090
1042,경남제약,053950
1043,엘컴텍,037950
1044,이상네트웍스,080010
1045,예림당,036000
1046,모베이스,101330
1047,아이디피,332370
1048,KH 건설,226360
1049,케이엘넷,039420
1050,블리츠웨이엔터테인먼트,369370
1051,오리콤,010470
1052,라온피플,300120
1053,모아라이프플러스,142760
1054,지니너스,389030
1055,액토즈소프트,052790
1056,우리산업홀딩스,072470
1057,파워넷,037030
1058,SKAI,357880
1059,더라미,032860
1060,프로티아,303360
1061,알엔투테크놀로지,148250
1062,사토시홀딩스,223310
1063,한켐,457370
1064,코어라인소프트,384470
1065,토탈소프트,045340
1066,에코볼트,097780
1067,싸이토젠,217330
1068,한국전자인증,041460
1069,한국비티비,219750
1070,제노레이,122310
1071,피제이메탈,128660
1072,바이젠셀,308080
1073,케이지에이,455180
1074,흥국에프엔비,189980
1075,한성크린텍,066980
1076,유신,054930
1077,동아엘텍,088130
1078,알피바이오,314140
1079,대림제지,017650
1080,대진첨단소재,393970
1081,동방선기,099410
1082,소마젠,950200
1083,제이엔비,452160
1084,인크레더블버즈,064090
1085,러셀,217500
1086,샤페론,378800
1087,코스맥스엔비티,222040
1088,덕우전자,263600
1089,와이엠씨,155650
1090,그린플러스,186230
1091,와이엠,007530
1092,현대에이치티,039010
1093,하이딥,365590
1094,큐라티스,348080
1095,일신바이오,068330
1096,엔투텍,227950
1097,오상자이엘,053980
1098,아이에이,038880
1099,코콤,015710
1100,코디,080530
1101,미래생명자원,218150
1102,티사이언티픽,057680
1103,코퍼스코리아,322780
1104,KH 미래물산,111870
1105,피앤에스로보틱스,460940
1106,조이웍스앤코,309930
1107,팸텍,271830
1108,포인트엔지니어링,256630
1109,알비더블유,361570
1110,현우산업,092300
1111,인지디스플레,037330
1112,원풍,008370
1113,강동씨앤엘,198440
1114,슈프리마에이치큐,094840
1115,수산아이앤티,050960
1116,SGC E&C,016250
1117,티비씨,033830
1118,네오오토,212560
1119,파이오링크,170790
1120,서남,294630
1121,네오티스,085910
1122,마이크로투나노,424980
1123,KX하이텍,052900
1124,램테크놀러지,171010
1125,제일바이오,052670
1126,민테크,452200
1127,아이티센엔텍,010280
1128,SG&G,040610
1129,KBI메탈,024840
1130,디알젬,263690
1131,뱅크웨어글로벌,199480
1132,오브젠,417860
1133,앱토크롬,109960
1134,흥국,010240
1135,대원,007680
1136,사이냅소프트,466410
